candidate_id,award_type,detail
2,Merit Scholarship,HEC Faculty development scholarship program for PhD studies.
2,Merit Scholarship,Merit scholarship by Army Public School and College for outstanding performance in Secondary School Certificate Examination.
2,Merit Scholarship,"Merit scholarship in MS Electrical(Telecom) Engineering by Center for Advanced Studies in Engineering(CASE),Islamabad in all semesters(1st,2nd & 3rd)."
3,Membership,PAKISTAN ENGG COUCIL AS A REGISTERED ENGINEER
5,Merit Scholarships,"PNRR postdoctoral scholarship at DET, Politecnico di Torino, Italy"
5,Merit Scholarships,"RESTART scholarship for PhD at Politecnico di Torino, Italy in collaboration with Telecom Italia"
5,Merit Scholarships,Prime Minister National ICT R&D 4 Years Undergraduate Scholarship
7,Merit Scholarships,HEC USETP Phase1 scholarship for study master and PhD degree in China
7,Academic Awards,"HEC Scholarship for Ms and PhD at North China Electric Power University, Beijing, China"
8,Merit Scholarship,University merit scholarship for PhD
9,Academic Awards,Graduated with Distinction Category in Masters
9,Merit Scholarships,Partial Merit Scholarship O-Levels
9,Merit Scholarships,Full Merit Scholarship A-Levels
9,Academic Awards,Dean Honor List during BSc Electrical Engineering (3rd Year)
9,Academic Awards,Gold Medal in O and A Levels for getting 8 A's and 4 A+'s
10,Academic Awards,Keynote at IEEE 17th Malaysian International Conference on Communications (MICC- 2025)
10,Academic Awards,"Keynote at International Institute for Educational Research and Publication (IFERP), 22 June 2025"
10,Academic Awards,"Best Paper Award, UAV Deployment for Optimal Mobility Management and Connectivity in Heterogeneous Environment, IEEE Multimedia University Engineering Conference 2022 (MECON 2024), 23-25 July 2024"
10,Academic Awards,"The Best Paper Award, Path Loss Prediction Analysis for UAV to Maritime Channel Model using Meta Learning, Multimedia University Engineering Conference (MECON25), 21-23 Jul 2025"
10,Academic Awards,Foreign Expert program with College of Electronics & Information Engineering Nanjing University of Aeronautics and Astronautics (NUAA)
11,Membership,Member of Pakistan Engineering Council (ELECT/48585)
11,Scholarship,HEC International Research Support Initiative Program (IRSIP) 2019
13,Scholarship,Chinese Government Scholarship (2016-2020)
14,Academic Awards,Received the FUTI Global Leadership Award 2015 - Financial grant for research internship at Princeton
14,Merit Scholarships,Awarded MEXT scholarship by the Japanese Government - Selected amongst 11 students for MS-PhD scholarship.
14,Merit Scholarships,"JENESYS Program 2011 - One of TWO researchers, selected to represent Pakistan"
16,Academic Award,"Ph.D. from UET Taxila, Pakistan, with distinction (2021)"
16,Academic Award,UET Taxila Gold Medal in MS-Computer Engineering (2017)
16,Academic Award,UET Taxila Gold Medal in BS-Computer Engineering (2014)
16,Academic Award,Silver Medal in Higher Secondary School Certificateâ€“II from FBISE (2010)
16,Academic Award,Bronze Medal in Higher Secondary School Certificateâ€“I from FBISE (2009)
17,Merit Scholarship,Won the CSC Scholarship in 2017
18,Academic Awards,NESCOM Fellowship 2007
18,Academic Awards,NOKIA Foundation Grant 2017
19,Merit Scholarship,PEC Funding for FYP
19,Merit Scholarship,ICT funding for FYP
20,Merit Scholarships,HEC HRDI UESTP
22,Membership,Pakistan Engineering Council
22,Scholarship,Merit Scholarships Fully funded scholar ship for MS and Ph D studies at Air University Islamabad
23,Membership,PEC: ELECTRO/06377
23,Scholarship,"Merit Scholarships in Matric, FSc, and Fouji Foundation scholarship in BE study"
24,Academic Awards,"SILVER MEDAL, 4TH INTERNATIONAL MALAYSIA-INDONESIA-THAILAND SYMPOSIUM ON INNOVATION AND CREATIVITY 2021"
24,Academic Awards,"SILVER MEDAL, INNOVATIVE RESEARCH, INVENTION, ANDAPPLICATION EXHIBITION (I-RIA) 2021"
24,Academic Awards,"GOLD MEDAL, INTERNATIONAL RESEARCH ANDINNOVATION SYMPOSIUM COMPETITION (RISE) 2020"
24,Academic Awards,"BEST PAPER AWARD, IEEE MALAYSIA AP/MTT/EMC JOINT CHAPTER"
25,Membership,LASAGNE EU next Generation Project PNRR for Postdoc 18 months
25,Academic Award,Best presentation Award at EECR 2020 Xiamen China
25,Scholarship,Marie Curie EU for 36 months during PhD
25,Scholarship,Chinese government Scholarship for 33 months during MS
26,Membership,IEEE Member
26,Membership,PEC Registered Engineer COMP/10644
27,Academic Award,Certificate and Cash prize for obtaining 2nd position in class
27,Merit Scholarship,Merit Scholarship for Master Studies 2018-2020
27,Merit Scholarship,Merit Scholarship for PhD Studies 2020-2024
28,Academic Awards,1st Position Holder in 4 semesters in Research during PhD at UTHM
28,Merit Scholarships,Graduate research assistant fundamental research grant scheme Ministry of higher education Malaysia
29,Merit Scholarships,HEC Indigenous PhD Scholarship
30,Merit Scholarship,Chinese Government Scholarship for doing PhD
30,Academic Award,Sir Robin Saxby Prize for best MSc project
31,Academic,Second Position Holder in Undergrad Computer Engineering
32,Academic Awards,10th position (Pre-engineering group) in BISE Peshawar
32,Merit Scholarships,4-year B.Sc. program scholarship from UET Peshawar
32,Merit Scholarships,Fully funded M.Sc. scholarship from HEC
32,Merit Scholarships,Fully funded Ph.D. scholarship from HEC
32,Academic Awards,"Best postdoctoral researcher award, 2021, AIH lab, NCAI, UET Peshawar"
33,Scholarship,USAID Scholarship
33,Research Fellowship,USA Arizona State University
33,Academic Award,2nd Position in MSc
33,Academic Award,Silver Medal in BSc Engineering
34,Academic Awards,"Best Poster Popularity Award (TACT 2019 International Thin Films Conference, Taipei, Taiwan)"
34,Academic Awards,1st Place â€“ University-Industry-Research Institute Research Project for the Resolution of Social Issues
34,Merit Scholarships,"Brain Korea 21 Four (BK21Four) Program, Energy Group, Jeju National University Research Fellowship"
34,Merit Scholarships,Prime Ministerâ€™s National ICT Scholarship Program by Ministry of IT Government of Pakistan
35,Academic Awards,"Best Paper of the Year, awarded by Kunsan National University, Korea"
35,Academic Awards,"Best Presentation Award from Kunsan National University, Korea"
36,Merit Scholarship,MESR Funding (2018 - 2022)
36,Merit Scholarship,HEC HRDI-UESTP Scholarship (2017 -2018)
36,Merit Scholarship,ICT R&D Scholarship (2010-2014)
36,Merit Scholarship,FBISE Scholarship (2006-2008)
38,Membership,Selected as a PEV for Pakistan Engineering Council
39,Academic Awards,Fully funded Postdoc position for the project PINPOINT
39,Academic Awards,"Final Year Project (FYP) of the Year Award, COMSATS University, Pakistan"
39,Merit Scholarships,Fully funded Chinese Government Scholarship for Masterâ€™s program
