candidate_id,qualification_name,institution_name,passing_year
4,PMP,CECOS,2012
10,In Service Training Course in Pedagogical Skills,Government Technical Teaching Training Center Peshawar,2015
10,English Language Course Certificate,Super Power Net Workers Educational Palace Hayatabad Peshawar,2015
10,CIT,Asia Institute Kohat Road Peshawar,2011
11,Visiting Research Scholar,"Queen Mary University of London, UK and Cortexica Vision Systems. Ltd.",2019
12,job letter,supreme vision construction and marketing,2025
13,Programmable Logic Controller,Skill development Council,2013
13,Google Data Analytics,Coursera,2023
14,STEPS Exchange Student,Saint Petersburg State University,2015
14,Visiting Student Research Collaborator,Princeton University,2016
17,Programmable Logic Controllers,Pakistan Industrial Technical Assistance Center (PITAC),2007
17,AutoCad,Institute of Quality &Technology Management,2008
17,ISO 14001:2004,Institute of Quality and Technology Managment,2008
17,Mobile switching Substation,ZTE Pakistan,2006
17,ISO 9001:2000,Institute of Quality &Technology Management,2008
19,Global Environmental Management,Denmark Technical University (DTU),2021
19,Management in Engineering: Strategy and Leadership,Massachusetts Institute of Technology (MIT),2020
19,The Transition to the Decarbonized Economy of Tomorrow,Delft University of Technology (DIT),2020
19,Design Thinking: Prototyping and User Testing,Rochester Institute of Technology (RIT),2020
19,Design Thinking: Empathizing to Understand the Problem,Rochester Institute of Technology (RIT),2020
20,Design and Development,Pakistan Navy School of Management,2021
22,Certified Associate of PLC and SCADA,SEECS NUST,2011
22,FPGA,SINA Institute I-8,2016
25,IEEE OES,Mediterranean PhD school,2022
32,Telecom Induction Course,"Wapda Staff College, Islamabad",2003
32,ADE induction Course,"Telecom Staff College, Haripur",2004
32,5-Day Applied Artificial Intelligence,"National Centre of Artificial Intelligence, UET Peshawar",2021
35,Android Development,CODE Islamabad,2015
35,"LINUX, RHCSA, RHCE",CORVIT ISLAMABAD,2016
