candidate_id,degree_name,specialization,institution_name,grade_value,grade_metric,passing_year,is_sse_hssc,qs_ranking,the_ranking
1,PhD,Electrical Engineering,"International Islamic University, Islamabad",3.33,GPA,2024,0,,
1,MS,Electrical Engineering,COMSATS University,3.03,GPA,2014,0,,
1,BSc,Electronics Engineering,COMSATS University,69.84,Percentage,2011,0,,
1,HSSC,Pre-Engineering,B.I.S.E Bannu,65.45,Percentage,2006,1,,
1,SSC,Science Subjects,B.I.S.E Bannu,71,Percentage,2004,1,,
2,PhD,Electrical (Communication),Institute Of Space Technology,3.83,GPA,2025,0,,
2,MS,Electrical (Telecom),Center For Advanced Studies In Engineering (Case),3.9,GPA,2013,0,,
2,BE,Electrical (Telecom),National University of Sciences and Technology,2.63,GPA,2010,0,,
2,HSSC,Pre-Engineering,Federal Board,76,Percentage,2006,0,,
2,SSC,Science,Federal Board,88,Percentage,2004,0,,
3,primary,science,Karachi Board,70,Percentage,1988,1,,
3,M.ENGG,ELECTRONICS,University of Engineering and Technology,2.97,GPA,2017,0,,
3,BACHELOR OF ELECTRONICS,ENGINEERING,Dawood Coleege Of Engineering And Engineering Technology,75,Percentage,2012,0,,
3,FSC,PRE-ENGINEERING,Karachi Inter Board,54,Percentage,2005,1,,
3,ssc,science,Karachi Matric Board,77,Percentage,2003,1,,
4,PhD,POWER ELECTRONICS,University Malaysia Pahang,4,GPA,2021,0,,
4,Masters of electrical engineering,control systems,Hogskolan Dalarna,4,GPA,2006,0,,
4,MBA,Human Resource Management,University Of Peshawar,64,Percentage,2012,0,,
4,Bachelor of electrical engineering,electrical engineering,"University Of Engineering And Technology,Peshawar",67,Percentage,2003,0,,
4,Fsc,pre engineering,Federal Board Of Intermediate N Secondary Education Islamabad,61,Percentage,1996,1,,
4,Matric,science,Federal Board Of Intermediate N Secondary Education Islamabad,68,Percentage,1994,1,,
5,PhD,FPGA and GPU acceleration of complex computational algorithms,"Politecnico Di Torino, Italy",100,Percentage,2024,0,,
5,Postdoctoral researcher,Evaluation of Hardware acceleration for ORAN/5G,Orange Innovation,99,Percentage,2026,0,,
5,MS,"Electriical, Electronics and Communications Engineering","Politecnico Di Torino, Italy",90,Percentage,2023,0,,
5,BS,Computer Engineering,"Politecnico Di Torino, Italy",90.9,Percentage,2019,0,,
5,BS,Computer Systems Engineering,Hamdard University Karachi,3.35,GPA,2014,0,,
5,HSSC,Pre-Engineering,Bise Bannu,78,Percentage,2010,1,,
5,SSC,Science,Bise Bannu,83.33,Percentage,2008,1,,
6,PhD in Electrical Engineering,"Deep Learning, Signal Processing, Hardware AI",Riphah International University,3.52,CGPA,2024,0,,
6,MS Electrical Engineering,Digital Signal Processing,Riphah International University,3.33,CGPA,2015,0,,
6,BS in Electronic Engineering,Electronic Engineering,International Islamic University Islamabad,2.84,CGPA,2012,0,,
6,Higher Secondary School,Pre-Engineering,Bise Abbottabad,62,Percentage,2008,1,,
6,Secondary School Certificate,Science,Bise Abbottabad,76.6,Percentage,2006,1,,
7,PhD,Renewable Power,North China Electric Power University Beijing,87,Percentage,2018,0,,
7,MS,Power Systems and Automation,North China Electric Power University Beijing,83,Percentage,2014,0,,
7,BS,Electrical Engineering,University of Engineering and Technology,73,Percentage,2006,0,,
7,HSC,,Bise Peshawar,74,Percentage,2001,1,,
7,SSC,,Bise Swat,80,Percentage,1999,1,,
8,ELECTRICAL ENGINEERING,WIRELESS COMMUNICATION,Institute Of Space Technology,3.6,GPA,2025,0,,
8,ELECTRONICS ENGINEERING,WIRELESS COMMUNICATION,Muhammad Ali Jinnah University,3.36,GPA,2015,0,,
8,ELECTRONIC ENGINEERING,ELECTRONICS,"Ssuet, Karachi",2.5,GPA,2011,0,,
8,FSc,PRE ENGINEERING,Bise D.G.Khan,73.54,Percentage,2006,1,,
