candidate_id,job_title,organization,location,start_date,end_date,is_current,job_description,industry,duration_months
1,Associate Professor,Xi'an International University,"Shaanxi, China",1/1/2025,Present,1,Associate Professor,Education,
1,Program Coordinator / Assistant Professor,Qurtuba University,"D.I.Khan, Pakistan",9/1/2017,8/1/2023 0:00,0,Program Coordinator and Assistant Professor,Education,
1,Lecturer,Qurtuba University,"D.I.Khan, Pakistan",8/1/2015,3/1/2018 0:00,0,Lecturer,Education,
1,Support Engineer,Al-Rehman enterprises,"Islamabad, Pakistan",1/1/2012,8/1/2015 0:00,0,Support Engineer,Engineering,
2,Lecturer,Foundation University Rawalpindi Campus,RAWALPINDI,2/1/2014,9/1/2024 0:00,0,,Academic,
2,Research Associate,"Institute of Space Technology, Islamabad, Pakistan",RAWALPINDI,10/1/2019,3/1/2021 0:00,0,,Academic,
3,trainee engineer,tuwairqi steel mill,karachi,7/1/2014,12/1/2014 0:00,0,,,
3,INTERNEE,PTCL SWITCHING AND TRANSMISSION NETWORK,,1/1/2011,2/1/2011 0:00,0,,,
3,INTERNEE,PIA AIRPORT ENGG DEPT,KARACHI,6/1/2010,8/1/2010 0:00,0,,,
4,assistant professor,city university,Peshawar,5/1/2021,Present,1,,,
4,Research Engineer,khyber lamps pekan,,7/1/2003,8/1/2005 0:00,0,,,
4,Assistant Professor,uet peshawar,peshawar,1/1/2007,9/1/2008 0:00,0,,,
4,Teaching Assistant,"ump pekan, malaysia",pekan,4/1/2016,4/1/2021 0:00,0,,,
4,asst professor,cecos university peshawar,peshawar,9/1/2007,8/1/2012 0:00,0,,,
5,Postdoctoral researcher,Orange Innovation,"Paris, France",10/1/2024,Present,1,,,
5,Researcher/Academic,Politecnico di Torino,Italy,12/1/2023,10/1/2024 0:00,0,,,10
5,Internee Engineer,Softech Microsystems,Karachi,4/1/2015,8/1/2015 0:00,0,,,4
6,Lecturer & Senior Lecturer,Riphah International University,Islamabad,5/1/2015,9/1/2024 0:00,0,,Academia,
6,Assistant Professor (EE) & Senior Researcher (CAID),Namal University Mianwali,Mianwali,9/1/2024,Present,1,,Academia,
8,NETWORK OPTIMIZATION ENGINEER,STC SAUDIA ARABIA,REMOTE,1/8/2024,Present,1,Network Optimization Engineer,Telecommunications,
8,RESEARCH ASSISTANT,INSTITUTE OF SPACE TECHNOLOGY,Islamabad,4/1/2019,4/1/2022 0:00,0,Research Assistant,Academic/Research,36
9,External RA/TA,Lahore University of Management Sciences,Lahore,1/1/2018,8/1/2019 0:00,0,Research and Teaching Assistant duties,Academic,20
10,Postdoc,Nanjing University of Aeronautics and Astronautics,China,4/1/2023,4/1/2025 0:00,0,,,
10,,Qurtuba University of Science and IT,Dera Ismail Khan,12/1/2019,3/1/2023 0:00,0,,,
10,Head of Department,Pearl College of Technology,Peshawar,11/1/2019,Present,1,,Education,
11,Research Associate/Research Fellow,"University of East London, UK","London, UK",1/1/2025,Present,1,,Academic,
11,Adjunct Faculty,"School of IT, Whitecliffe, Wellington","Wellington, New Zealand",5/1/2024,Present,1,,Academic,
11,Assistant Professor,Air University,"Islamabad, Pakistan",9/1/2021,11/1/2024 0:00,0,,Academic,38
11,Assistant Professor,PAF-IAST,"Haripur, Pakistan",8/1/2020,9/1/2021 0:00,0,,Academic,13
11,Visiting Lecturer,University of Haripur,"Haripur, Pakistan",8/1/2019,12/1/2019 0:00,0,,Academic,4
11,Assistant Professor,Women University Swabi,"Swabi, Pakistan",12/1/2019,8/1/2020 0:00,0,,Academic,8
12,VISITING ASISTANT PROFESSOR,NATIONAL SKILLS UNIVERSITY ISLAMABAD,ISLAMABAD,9/1/2025,Present,1,,,
12,consultant,Supreme Vision Construction And Marketing,B17 MULTIGARDEN ISLAMABAD,3/1/2023,Present,1,,Construction,
12,CEO,LITTLE STEP'S KINDERGARTEN,peshawar,9/1/2017,3/1/2019 0:00,0,,Education,
12,lecturer,peshawar college of engr,peshawar,2/1/2013,5/1/2015 0:00,0,,Education,
13,Assistant Professor,"Lahore Garrison University, Lahore","Dha phase 6 block c , lahore",10/1/2022,Present,1,Assistant Professor,Academic,
13,Assistant Professor HoD,"Quaid e Azam College of Engineering and Technology, Sahiwal",Sahiwal,8/1/2021,10/1/2022 0:00,0,Assistant Professor HoD,Academic,14
13,Assistant Professor,The University of Faisalabad,Faisalabad,11/1/2020,8/1/2021 0:00,0,Assistant Professor,Academic,9
13,Lecturer,The University of Faisalabad,Faisalabad,7/1/2015,8/1/2016 0:00,0,Lecturer,Academic,13
13,Lecturer,Ata institute of Engineering and Technology,Wazirabad,11/1/2014,7/1/2015 0:00,0,Lecturer,Academic,8
13,Automation Engineer,Electrical Engineering Solutions,Lahore,2/1/2013,8/1/2013 0:00,0,Automation Engineer,Engineering,6
13,Trainee Electrical Engineering,Prosperity Weaving mill,sheikhupura,6/1/2009,8/1/2010 0:00,0,Trainee Electrical Engineering,Manufacturing,14
14,Assistant Professor,GIKI,"Sawabi, KPK",9/1/2021,Present,1,,,
14,Research Internee,"Center for Micro- and Nano-electronics Devices (CNMD), COMSATS","Islamabad, Pakistan",6/1/2009,8/1/2009 0:00,0,,,2
14,Research Student,National Center for Physics,"Islamabad, Pakistan",9/1/2009,5/1/2010 0:00,0,,,8
14,Doctoral Research Student,JXTG Nippon Oil,"Tokyo, Japan",4/1/2018,3/1/2019 0:00,0,,,11
14,Research Student,University of Tokyo,"Tokyo, Japan",4/1/2013,3/1/2014 0:00,0,,,11
14,Research Associate,COMSATS University,"Islamabad, Pakistan",6/1/2011,3/1/2013 0:00,0,,,21
14,Network Support Engineer,Premier Systems,Islamabad,12/1/2010,5/1/2011 0:00,0,,,5
15,Professor,PIMSAT,,1/10/2024,Present,1,,,
15,Associate Professor,PIMSAT,,9/1/2023,9/1/2024 0:00,0,,,
15,Assistant Professor,PIMSAT,,10/1/2014,8/1/2015 0:00,0,,,
15,Assistant Professor,Riphah International University,,9/1/2015,2/1/2016 0:00,0,,,
15,Assistant Professor,Hamdard University Islamabad,,2/1/2016,5/1/2016 0:00,0,,,
15,Assistant Professor,"University of Poonch, Rawalakot",,5/1/2016,9/1/2016 0:00,0,,,
15,Associate Professor,National University of Modern Languages,,9/1/2016,1/1/2017 0:00,0,,,
15,Assistant Professor,"University of Engineering and Technology, Taxila",Taxila,2/1/2017,9/1/2023 0:00,0,,,
16,Research Fellow/PostDoc,University of East London,"London, UK",11/1/2024,Present,1,,Academia,
16,Assistant Professor,Air University,"Islamabad, Pakistan",9/1/2021,11/1/2024 0:00,0,,Academia,
16,Assistant Professor,PAF-IAST,"Haripur, Pakistan",1/1/2021,8/1/2021 0:00,0,,Academia,
16,Teaching Assistant,"University of Engineering and Technology (UET), Taxila",Taxila,8/1/2015,2/1/2017 0:00,0,,Academia,
16,Research Associate,"University of Engineering and Technology (UET), Taxila",Taxila,10/1/2017,10/1/2020 0:00,0,,Academia,
17,Associate Professor,"Southwest University of Science and Technology, China","Sichuan, Mianyang, China",1/9/2023,Present,1,,Academic,
17,Assistant Professor,NUST PNEC,karachi,2/1/2022,8/1/2023 0:00,0,,Academic,
17,Field Engineer,Myson Engineering System,Lahore,1/1/2008,1/1/2010 0:00,0,,Engineering,
17,Lecturer/ Assistant Professor,The University of Lahore,Lahore,1/1/2010,9/1/2017 0:00,0,,Academic,
18,Embedded Software Engineer,4MWireless (uBlox),"Lahore, Pakistan",1/1/2009,7/1/2009 0:00,0,,,
18,Project and Development Engineer,NOMOR Research GmBH,"Munich, Germany",8/1/2011,7/1/2012 0:00,0,,,
18,Doctoral Researcher,"Center for Wireless Communications, University of Oulu","Oulu, Finland",9/1/2012,9/1/2017 0:00,0,,,
18,PD Baseband Developer,Ericsson AB,"Lund, Sweden",9/1/2017,2/1/2025 0:00,0,,,
18,Senior System Software Engineer,Combitech Sverige,"Malmo, Sweden",2/1/2025,,1,,,
19,Program Leader Research Degrees (FET),The superior university,"Lahore, Pakistan",5/1/2024,Present,1,,Academia,
19,Assistant Professor,"The superior university, Lahore","Lahore, Pakistan",7/1/2023,Present,1,,Academia,
19,Faculty Member,University of South Asia,"Lahore, Pakistan",10/1/2010,8/1/2014 0:00,0,,Academia,46
19,Electrical In-charge,Stylo pvt. ltd.,"Lahore, Pakistan",9/1/2014,3/1/2015 0:00,0,,Industry,6
19,Lecturer,"The Superior University, Lahore","Lahore, Pakistan",3/1/2015,6/1/2023 0:00,0,,Academia,99
20,Researcher,Italian National Research Council,Pisa,12/1/2024,Present,1,,,
20,Post-Doctorate,NUST,Islamabad,9/1/2022,10/1/2024 0:00,0,,,25
20,Lt Cdr,Pakistan Navy,Karachi,11/1/2019,9/1/2022 0:00,0,,Military,34
20,Assistant Professor,University of Azad Jammu and kashmir,Muzaffarabad,11/1/2017,10/1/2019 0:00,0,,Academic,23
20,Researcher,POLITECNICO DI TORINO,Italy,4/1/2014,10/1/2017 0:00,0,,Academic,42
