candidate_id,title,venue_name,output_type,publication_year,impact_factor,author_names,research_topics/0,research_topics/1,research_topics/2
1,"A Hybrid Framework Integrating Deterministic Clustering, Neural Networks, and Energy-Aware Routing for Enhanced Efficiency and Longevity in Wireless Sensor Network",International Journal,Journal,2025,2.1,"Muhammad Salman Qamar, Muhammad Fahad Munir",,,
1,AI for Cleaner Air: PredictiveModeling of PM2.5 Using Deep Learning and Traditional Time-Series Approaches,International Journal,Journal,2025,2.5,"Muhammad Salman Qamar, Muhammad Fahad Munir, Athar Waseem",,,
1,Improvement of Traveling Salesman Problem Solution using Hybrid Algorithm based on Best-Worst Ant System and Particle Swarm Optimization,International Journal,Journal,2021,2.8,"Muhammad Salman Qamar, Shanshan Tu, Farman Ali, Ammar Armghan, Muhammad Fahad Munir, Fayadh Alenezi, Fazal Muhammad, Asar Ali, Norah Alnaim",,,
1,Enhancing Energy Efficiency in WSNs with Hybrid LEACH-D and ANN,international Conference,Conference,2024,0,"Muhammad Salman Qamar, Muhammad Fahad Munir, Mardeni Bin Roslee, Adnan Anwar Awan, Athar Waseem",,,
1,A Novel Approach to Energy Optimization: Efficient Path Selection in Wireless Sensor Networks with Hybrid ANN,International Journal,Journal,2024,2.1,"Muhammad Salman Qamar, Ihsan ul Haq, Amil Daraz, Atif M. Alamri, Salman A. AlQahtani",,,
2,Joint Backhaul Pairing and Resource Allocation of Moving Small Cells Using NOMA,International Conference,Conference,2023,0,"Myra Khalid, Aamina Akbar, Hassaan Khaliq Qureshi, Sobia Jangsher",,,
2,Ga-Optimized Jt-Comp F-Noma in Hetnets: Adaptive Resource Allocation with Imperfect Sic,Journal,Journal,2025,2.2,"Aamina Akbar, Ashfaq Ahmed, Adnan Zafar, Sobia Jangsher",,,
2,An energy-efficient JT-CoMP enabled framework with adaptive OMA/NOMA in HetNets,Journal,Journal,2024,4.4,"Aamina Akbar, Ashfaq Ahmed, Adnan Zafar, Sobia Jangsher",,,
2,NOMA and 5G emerging technologies: A survey on issues and solution techniques,Journal,Journal,2021,4.4,"Aamina Akbar, Sobia Jangsher, Farrukh Aziz Bhatti",,,
5,Lightweight aes design for iot applications: Optimizations in fpga and asic with dfa countermeasure strategies,IEEE Access,Journal,2025,3.6,"Salman Ahmed, Nabihah Ahmad, Nasir Ali Shah, Ghulam E Mustafa Abro, Ardhi Wijayanto, Abdinasir Hirsi, Abdul Rehman Altaf",,,
5,Analysis of machine learning based imputation of missing data,Cybernetics and Systems,Journal,2023,1.8,"Syed Tahir Hussain Rizvi, Muhammad Yasir Latif, Muhammad Saad Amin, Achraf Jabeur Telmoudi, Nasir Ali Shah",,,
